"Timestamp","Did you have any experiments in your paper? If no, you are already done with the survey, thank you and have a good day. :)","Did you optimize your hyperparameters?","If yes, how did you tune them?","How many hyperparameters did you optimize?","How many trials/experiments in total during the optimization? (How many different set of hyperparameters were evaluated)","Did you optimize the hyperparameters of your baselines? (The other models or algorithms you compared with)","How many baselines (models, algos) did you compare with? (If different across datasets, please report maximum number, not total)","How many datasets or tasks did you compare on?","How many results did you report for each model (ex: for different seeds).","If you answered 1 to previous question, did you use the same seed in all your experiments? (If you did not seed your experiments, you should answer 'no' to this question.)"
"2019/12/23 6:50:52 PM EST","Yes","Yes","Manual Tuning;Other","More than 5","200-500","No","3-5","3-5","5-10","N/A"
"2019/12/23 6:52:07 PM EST","Yes","Yes","Grid Search","3-5","50-100","Yes","3-5","3-5","3-5","N/A"
"2019/12/23 6:52:47 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","3-5","2","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 6:54:22 PM EST","Yes","Yes","Manual Tuning;Grid Search","More than 5","50-100","Yes","3-5","1","3-5","N/A"
"2019/12/23 6:55:58 PM EST","Yes","Yes","Manual Tuning;Grid Search;Random Search","1","1-50","Not applicable","5-10","2","3-5","N/A"
"2019/12/23 6:58:19 PM EST","Yes","Yes","Grid Search","1","1-50","Not applicable","2","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 6:59:31 PM EST","Yes","Yes","Manual Tuning;Grid Search","More than 5","200-500","No","3-5","3-5","3-5","N/A"
"2019/12/23 7:00:23 PM EST","Yes","Yes","Grid Search","1","1-50","Not applicable","5-10","2","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 7:00:30 PM EST","Yes","Yes","Manual Tuning","2","1-50","No","3-5","3-5","1","Yes, all on the same seed"
"2019/12/23 7:00:48 PM EST","Yes","Yes","Manual Tuning","3-5","50-100","No","5-10","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 7:01:05 PM EST","Yes","Yes","Grid Search","3-5","More than 500","Yes","3-5","3-5","5-10","N/A"
"2019/12/23 7:01:21 PM EST","Yes","Yes","Manual Tuning;Other","3-5","100-200","Yes","5-10","3-5","5-10",""
"2019/12/23 7:02:40 PM EST","Yes","Yes","Grid Search","2","1-50","No","3-5","3-5","3-5","Yes, all on the same seed"
"2019/12/23 7:05:50 PM EST","Yes","Yes","Grid Search","1","1-50","Yes","5-10","5-10","3-5","Yes, all on the same seed"
"2019/12/23 7:06:19 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","1-50","Yes","5-10","3-5","More than 10","N/A"
"2019/12/23 7:07:23 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","3-5","3-5","3-5",""
"2019/12/23 7:07:34 PM EST","Yes","Yes","Manual Tuning","1","1-50","Yes","3-5","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 7:10:00 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","50-100","Yes","3-5","3-5","3-5","Ensured experiments replicated with different seeds, results in the paper are from replications"
"2019/12/23 7:10:00 PM EST","Yes","Yes","Grid Search","2","1-50","Yes","More than 10","5-10","5-10","Yes, all on the same seed"
"2019/12/23 7:11:15 PM EST","Yes","Yes","Grid Search","3-5","1-50","Yes","More than 10","5-10","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 7:11:22 PM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","1","5-10","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 7:11:49 PM EST","Yes","Yes","Manual Tuning","3-5","50-100","Yes","3-5","3-5","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 7:12:21 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","5-10","2","3-5","N/A"
"2019/12/23 7:12:37 PM EST","Yes","Yes","Grid Search","2","1-50","Yes","3-5","5-10","5-10","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 7:13:04 PM EST","Yes","Yes","Grid Search","More than 5","1-50","Yes","More than 10","3-5","5-10","Yes, all on the same seed"
"2019/12/23 7:13:27 PM EST","Yes","Yes","Manual Tuning","More than 5","50-100","Yes","5-10","2","1","Yes, all on the same seed"
"2019/12/23 7:14:48 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","No","5-10","5-10","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 7:20:32 PM EST","Yes","Yes","Grid Search","2","1-50","Yes","5-10","3-5","3-5","N/A"
"2019/12/23 7:20:41 PM EST","Yes","Yes","Manual Tuning","1","1-50","No","5-10","5-10","5-10","Yes, all on the same seed"
"2019/12/23 7:21:35 PM EST","Yes","Yes","Grid Search","3-5","50-100","Yes","3-5","3-5","3-5","N/A"
"2019/12/23 7:22:31 PM EST","Yes","Yes","Manual Tuning;Grid Search","More than 5","200-500","No","5-10","More than 10","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 7:23:54 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","1-50","Yes","2","2","3-5","N/A"
"2019/12/23 7:25:09 PM EST","Yes","Yes","Grid Search","3-5","1-50","Yes","3-5","3-5","3-5","N/A"
"2019/12/23 7:26:45 PM EST","Yes","No","Manual Tuning","1","1-50","Yes","1","More than 10","3-5","Yes, all on the same seed"
"2019/12/23 7:29:45 PM EST","No","","","","","","","","",""
"2019/12/23 7:34:00 PM EST","Yes","Yes","Manual Tuning;Grid Search","More than 5","1-50","Yes","5-10","3-5","3-5","Yes, all on the same seed"
"2019/12/23 7:34:36 PM EST","Yes","No","","","More than 500","No","2","5-10","More than 10","N/A"
"2019/12/23 7:35:05 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","No","5-10","3-5","1","Yes, all on the same seed"
"2019/12/23 7:42:58 PM EST","Yes","Yes","Other","3-5","1-50","Yes","More than 10","5-10","More than 10","N/A"
"2019/12/23 7:43:55 PM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","2","3-5","1","Yes, all on the same seed"
"2019/12/23 7:45:44 PM EST","Yes","No","","","","No","3-5","2","More than 10",""
"2019/12/23 7:46:15 PM EST","No","","","","","","","","",""
"2019/12/23 7:46:59 PM EST","Yes","No","","","","","","","",""
"2019/12/23 7:47:51 PM EST","Yes","Yes","Grid Search","1","1-50","Yes","5-10","3-5","2","Yes, all on the same seed"
"2019/12/23 7:48:52 PM EST","Yes","Yes","Manual Tuning","2","1-50","No","3-5","1","1","Yes, all on the same seed"
"2019/12/23 7:50:28 PM EST","No","","","","","","","","",""
"2019/12/23 7:56:12 PM EST","Yes","Yes","Grid Search","2","1-50","Yes","1","More than 10","More than 10","Yes, all on the same seed"
"2019/12/23 8:00:01 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","50-100","No","3-5","5-10","1","Yes, all on the same seed"
"2019/12/23 8:01:36 PM EST","Yes","No","","1","1-50","No","2","3-5","2",""
"2019/12/23 8:02:07 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","1","2","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 8:03:08 PM EST","Yes","No","Manual Tuning;Grid Search","3-5","1-50","No","2","3-5","3-5","N/A"
"2019/12/23 8:09:35 PM EST","Yes","Yes","Grid Search","2","1-50","Yes","3-5","3-5","5-10","N/A"
"2019/12/23 8:11:14 PM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","3-5","2","More than 10",""
"2019/12/23 8:11:40 PM EST","Yes","No","","","1-50","Not applicable","1","2","1","N/A"
"2019/12/23 8:13:30 PM EST","Yes","Yes","Grid Search","More than 5","50-100","Not applicable","More than 10","3-5","5-10","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 8:19:22 PM EST","No","","","","","","","","",""
"2019/12/23 8:20:02 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Not applicable","5-10","1","1","Yes, all on the same seed"
"2019/12/23 8:21:44 PM EST","Yes","Yes","Other","3-5","200-500","Yes","1","3-5","3-5","N/A"
"2019/12/23 8:23:09 PM EST","Yes","Yes","Manual Tuning","3-5","50-100","Yes","3-5","3-5","5-10","N/A"
"2019/12/23 8:32:39 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","5-10","5-10","More than 10",""
"2019/12/23 8:35:14 PM EST","Yes","Yes","Grid Search","3-5","50-100","Yes","3-5","5-10","3-5","N/A"
"2019/12/23 8:36:13 PM EST","Yes","Yes","Other","More than 5","1-50","No","3-5","3-5","1","Yes, all on the same seed"
"2019/12/23 8:39:17 PM EST","Yes","Yes","Manual Tuning","More than 5","More than 500","Yes","3-5","More than 10","5-10","N/A"
"2019/12/23 8:39:56 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","1-50","Yes","2","3-5","3-5","N/A"
"2019/12/23 8:49:33 PM EST","Yes","Yes","Manual Tuning","3-5","50-100","Yes","3-5","5-10","1","Yes, all on the same seed"
"2019/12/23 8:50:42 PM EST","Yes","No","Other","1","1-50","Yes","5-10","2","3-5","N/A"
"2019/12/23 8:50:42 PM EST","Yes","Yes","Manual Tuning;Random Search","2","1-50","Yes","5-10","3-5","3-5","Yes, all on the same seed"
"2019/12/23 8:51:32 PM EST","Yes","Yes","Manual Tuning;Grid Search","2","1-50","Yes","3-5","3-5","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 8:54:07 PM EST","Yes","Yes","Grid Search","3-5","50-100","No","More than 10","3-5","2",""
"2019/12/23 9:08:29 PM EST","Yes","Yes","Grid Search","1","1-50","Yes","3-5","3-5","3-5","N/A"
"2019/12/23 9:14:38 PM EST","Yes","Yes","Grid Search;Random Search","3-5","200-500","Yes","5-10","3-5","More than 10",""
"2019/12/23 9:15:24 PM EST","Yes","Yes","Manual Tuning","2","1-50","No","5-10","3-5","1","Yes, all on the same seed"
"2019/12/23 9:19:00 PM EST","Yes","No","","","100-200","Not applicable","","","",""
"2019/12/23 9:22:25 PM EST","Yes","Yes","Grid Search;Random Search","2","50-100","Yes","2","2","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 9:23:15 PM EST","Yes","No","Manual Tuning","","50-100","Yes","3-5","3-5","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 9:28:05 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","3-5","3-5","2",""
"2019/12/23 9:28:48 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","No","More than 10","2","2","N/A"
"2019/12/23 9:29:00 PM EST","Yes","No","Random Search","1","1-50","Yes","1","3-5","1","Yes, all on the same seed"
"2019/12/23 9:35:41 PM EST","Yes","Yes","Grid Search","3-5","1-50","Yes","3-5","3-5","5-10","N/A"
"2019/12/23 9:38:46 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","1-50","No","5-10","3-5","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 9:38:48 PM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","3-5","2","1","Yes, all on the same seed"
"2019/12/23 9:39:37 PM EST","No","Yes","Manual Tuning","1","1-50","Yes","3-5","5-10","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 9:44:48 PM EST","Yes","Yes","Manual Tuning;Grid Search","More than 5","More than 500","Yes","3-5","More than 10","5-10",""
"2019/12/23 9:45:03 PM EST","Yes","Yes","Manual Tuning","1","1-50","Not applicable","2","3-5","3-5","Yes, all on the same seed"
"2019/12/23 9:45:51 PM EST","Yes","No","","","","Yes","3-5","2","More than 10","N/A"
"2019/12/23 9:48:09 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Not applicable","3-5","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 9:50:09 PM EST","Yes","Yes","Random Search","3-5","1-50","Yes","3-5","More than 10","3-5","5 different seeds; same set of seeds for all methods"
"2019/12/23 9:51:56 PM EST","Yes","Yes","Manual Tuning","More than 5","50-100","Yes","5-10","More than 10","2","Yes, all on the same seed"
"2019/12/23 9:52:32 PM EST","Yes","Yes","Grid Search","3-5","1-50","Yes","3-5","2","1","Yes, all on the same seed"
"2019/12/23 9:53:42 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","50-100","No","5-10","2","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 9:55:47 PM EST","Yes","No","Other","3-5","1-50","No","3-5","2","5-10","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 10:01:50 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","50-100","No","3-5","More than 10","More than 10","N/A"
"2019/12/23 10:04:45 PM EST","Yes","Yes","Grid Search","3-5","50-100","Yes","5-10","3-5","3-5","N/A"
"2019/12/23 10:07:25 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","3-5","3-5","More than 10","N/A"
"2019/12/23 10:18:38 PM EST","Yes","Yes","Grid Search","More than 5","50-100","Yes","5-10","3-5","5-10",""
"2019/12/23 10:22:37 PM EST","Yes","No","","","","Not applicable","","2","","N/A"
"2019/12/23 10:23:59 PM EST","Yes","Yes","Manual Tuning","More than 5","1-50","Yes","5-10","2","1","Yes, all on the same seed"
"2019/12/23 10:25:02 PM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","3-5","2","1","Yes, all on the same seed"
"2019/12/23 10:27:16 PM EST","Yes","Yes","Manual Tuning","3-5","50-100","Yes","2","5-10","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 10:35:33 PM EST","Yes","No","","","","","3-5","2","3-5",""
"2019/12/23 10:48:00 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","1-50","Yes","3-5","3-5","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 10:49:28 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","50-100","Yes","3-5","1","1","Yes, all on the same seed"
"2019/12/23 10:51:45 PM EST","Yes","Yes","Manual Tuning","3-5","1-50","No","3-5","3-5","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 10:52:38 PM EST","Yes","Yes","Grid Search","1","1-50","Not applicable","2","2","5-10","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 10:56:24 PM EST","Yes","Yes","Grid Search","More than 5","More than 500","Yes","3-5","More than 10","2","Yes, all on the same seed"
"2019/12/23 11:03:49 PM EST","Yes","No","Other","1","1-50","No","1","2","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 11:16:05 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","1-50","Yes","5-10","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 11:16:07 PM EST","Yes","Yes","Grid Search","3-5","1-50","No","3-5","3-5","1","Yes, all on the same seed"
"2019/12/23 11:23:57 PM EST","Yes","Yes","Grid Search","1","1-50","Yes","1","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 11:49:30 PM EST","Yes","Yes","Grid Search;Random Search","3-5","50-100","Yes","1","3-5","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 11:57:12 PM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","1-50","Yes","2","3-5","5-10","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/23 11:59:00 PM EST","Yes","Yes","Grid Search","2","100-200","No","3-5","5-10","5-10","N/A"
"2019/12/24 12:15:49 AM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","3-5","3-5","More than 10",""
"2019/12/24 12:20:56 AM EST","Yes","No","","","","Not applicable","More than 10","3-5","3-5","N/A"
"2019/12/24 12:28:09 AM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","1-50","Yes","3-5","More than 10","More than 10","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 12:29:38 AM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","3-5","1","5-10","N/A"
"2019/12/24 12:38:42 AM EST","Yes","Yes","Manual Tuning;Grid Search","1","1-50","No","","1","More than 10","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 12:42:35 AM EST","Yes","Yes","Random Search","More than 5","100-200","Yes","3-5","More than 10","More than 10","N/A"
"2019/12/24 12:58:12 AM EST","Yes","Yes","Manual Tuning","1","1-50","Yes","1","3-5","1","Yes, all on the same seed"
"2019/12/24 1:03:36 AM EST","Yes","Yes","Manual Tuning","1","1-50","Yes","2","3-5","1","Yes, all on the same seed"
"2019/12/24 1:08:12 AM EST","Yes","Yes","Grid Search","3-5","200-500","Yes","3-5","3-5","3-5","Dataset instances were generated with different seeds, so each instant experienced a different noise sample path "
"2019/12/24 1:14:36 AM EST","Yes","Yes","Manual Tuning","More than 5","1-50","Yes","3-5","3-5","1","Yes, all on the same seed"
"2019/12/24 1:32:14 AM EST","Yes","Yes","Manual Tuning","3-5","1-50","Not applicable","3-5","3-5","3-5","N/A"
"2019/12/24 1:36:12 AM EST","Yes","Yes","Grid Search","3-5","More than 500","Yes","3-5","3-5","3-5",""
"2019/12/24 1:37:39 AM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","50-100","Yes","3-5","5-10","5-10",""
"2019/12/24 1:40:27 AM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","3-5","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 1:48:36 AM EST","Yes","Yes","Grid Search;Random Search","2","1-50","Yes","5-10","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 2:06:53 AM EST","Yes","Yes","Grid Search","3-5","50-100","Yes","3-5","3-5","3-5","Yes, all on the same seed"
"2019/12/24 2:07:01 AM EST","Yes","Yes","Manual Tuning","2","1-50","Not applicable","1","","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 2:07:35 AM EST","Yes","Yes","Grid Search","2","1-50","Yes","2","3-5","5-10","N/A"
"2019/12/24 2:20:54 AM EST","Yes","Yes","Manual Tuning","2","1-50","No","3-5","3-5","1","Yes, all on the same seed"
"2019/12/24 2:33:48 AM EST","Yes","Yes","Other","More than 5","More than 500","Yes","2","5-10","1","Same seed, but estimated the variance in previous works to be small."
"2019/12/24 2:37:24 AM EST","No","","","","","","","","",""
"2019/12/24 2:48:45 AM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","2","More than 10","1","Yes, all on the same seed"
"2019/12/24 3:00:29 AM EST","Yes","Yes","Manual Tuning;Grid Search","2","1-50","Yes","3-5","2","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 3:07:32 AM EST","Yes","Yes","Manual Tuning","More than 5","1-50","No","5-10","5-10","1","Yes, all on the same seed"
"2019/12/24 3:08:25 AM EST","Yes","Yes","Grid Search;Other","1","1-50","Yes","3-5","1","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 3:08:36 AM EST","Yes","Yes","Grid Search","3-5","100-200","Yes","5-10","3-5","3-5","N/A"
"2019/12/24 3:09:33 AM EST","Yes","Yes","Manual Tuning","More than 5","1-50","No","3-5","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 3:10:23 AM EST","Yes","No","","","","Not applicable","2","3-5","More than 10","N/A"
"2019/12/24 3:16:38 AM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","1-50","Yes","3-5","5-10","1","I reported average score for each model, averaged over 10 runs. Each of the 10 runs used the same seed across all models. "
"2019/12/24 3:21:52 AM EST","Yes","Yes","Grid Search","2","200-500","Yes","1","5-10","5-10","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 3:22:02 AM EST","Yes","Yes","Manual Tuning","More than 5","50-100","Yes","3-5","More than 10","3-5",""
"2019/12/24 3:23:11 AM EST","Yes","Yes","Grid Search","3-5","50-100","Yes","3-5","3-5","5-10","N/A"
"2019/12/24 3:26:04 AM EST","Yes","Yes","Grid Search","More than 5","1-50","Yes","2","3-5","5-10","N/A"
"2019/12/24 3:27:18 AM EST","Yes","No","","","","No","3-5","3-5","1","Yes, all on the same seed"
"2019/12/24 3:30:05 AM EST","Yes","Yes","Manual Tuning;Grid Search","More than 5","200-500","No","3-5","3-5","3-5","N/A"
"2019/12/24 3:31:01 AM EST","Yes","Yes","Grid Search;Random Search","More than 5","More than 500","Yes","3-5","3-5","More than 10","Yes, all on the same seed"
"2019/12/24 3:34:48 AM EST","Yes","Yes","Manual Tuning;Grid Search","3-5","100-200","Yes","5-10","2","3-5","N/A"
"2019/12/24 3:38:22 AM EST","Yes","No","Other","","1-50","Yes","5-10","2","2","N/A"
"2019/12/24 3:45:59 AM EST","Yes","Yes","Grid Search","More than 5","50-100","Yes","5-10","5-10","1","Yes, all on the same seed"
"2019/12/24 3:49:09 AM EST","Yes","Yes","Manual Tuning","More than 5","1-50","Yes","5-10","3-5","1","Yes, all on the same seed"
"2019/12/24 3:58:35 AM EST","Yes","Yes","Grid Search","1","1-50","Not applicable","1","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 4:13:57 AM EST","Yes","Yes","Manual Tuning","3-5","1-50","Not applicable","1","5-10","More than 10","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 4:15:02 AM EST","Yes","No","","","","","3-5","3-5","5-10","I used multiple (10) same seeds across different models (to ensure statistical and fair evaluation)."
"2019/12/24 4:20:45 AM EST","Yes","Yes","Manual Tuning;Random Search","2","1-50","Yes","5-10","3-5","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 4:38:07 AM EST","Yes","Yes","Manual Tuning","1","1-50","Yes","3-5","3-5","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 4:38:43 AM EST","Yes","Yes","Manual Tuning","More than 5","1-50","No","5-10","3-5","","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 4:40:52 AM EST","Yes","No","","2","50-100","No","1","5-10","2",""
"2019/12/24 4:43:08 AM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","2","3-5","5-10","N/A"
"2019/12/24 4:53:57 AM EST","Yes","Yes","Manual Tuning","2","1-50","Not applicable","5-10","3-5","3-5","N/A"
"2019/12/24 4:54:14 AM EST","Yes","Yes","Random Search;Other","More than 5","More than 500","Yes","3-5","2","3-5",""
"2019/12/24 4:58:51 AM EST","Yes","Yes","Manual Tuning","2","1-50","Not applicable","3-5","5-10","1","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 5:00:29 AM EST","Yes","Yes","Manual Tuning","3-5","1-50","Yes","1","More than 10","More than 10","N/A"
"2019/12/24 5:02:17 AM EST","Yes","Yes","Manual Tuning","1","1-50","Not applicable","More than 10","3-5","5-10","Yes, all on the same seed"
"2019/12/24 5:05:25 AM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","1","2","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 5:07:40 AM EST","Yes","Yes","Grid Search","3-5","50-100","Yes","3-5","3-5","5-10",""
"2019/12/24 5:13:24 AM EST","Yes","Yes","Random Search","3-5","100-200","Not applicable","1","3-5","1","Yes, all on the same seed"
"2019/12/24 5:27:03 AM EST","Yes","No","","More than 5","50-100","Not applicable","5-10","3-5","3-5","No, I did not seed my experiments or I explicitly used different seeds"
"2019/12/24 5:49:00 AM EST","Yes","Yes","Manual Tuning","2","1-50","Yes","5-10","3-5","3-5","random seeds. STD reported"
